Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level,Sales_Performance,High_Sales_Flag
Prohaska-Kuhic ,Hermiston and Sons Pharma Plc,Bochnia,Poland,49.9833,20.4333,Pharmacy,Institution,Temasone Thiobucil,Antimalarial,150.0,482,,August,2018,Sheila Stones,,Delta,Altas,Alto,1
Stehr-Champlin  ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Quixitriptan Alanesin,Antiseptics,90.0,79,7110.0,August,2018,Mary Gerrard,Britanny Bold,Delta,Altas,Alto,0
Stehr-Champlin  ,Moore PLC Pharmaceutical Ltd,Łomża,Poland,53.1833,22.0833,Pharmacy,Retail,Duraprazole Agalsixolol,Antiseptics,20.0,375,7500.0,August,2018,,Britanny Bold,Delta,Altas,Alto,0
Smith Inc ,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private,Relenstrel Exurabine,Antibiotics,4.0,424,1696.0,August,2018,Jimmy Grey,Alisha Cordwell,Charlie,Medias,Bajo,0
Prohaska-Kuhic ,Barrows Inc ,Hajnówka,Poland,52.7333,23.5667,Hospital,Private,Fentatrol Rapatelase,Antibiotics,4.0,458,1832.0,August,2018,Anne Wu,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Kozey-Schroeder ,Jawor,Poland,51.05,16.1833,Hospital,Private,Secrelazine Insonamic,Antipiretics,30.0,694,20820.0,August,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,0
Stehr-Champlin  ,Lockman Ltd ,Połaniec,Poland,50.4333,21.2833,Pharmacy,Institution,Agalsiline,Mood Stabilizers,1.0,64,,August,2018,Jimmy Grey,Alisha Cordwell,Charlie,Bajas,Bajo,0
Smith Inc ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail,Clindaracil,Analgesics,4.0,173,692.0,August,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,Schaefer-Rolfson ,Niepołomice,Poland,,20.2172,Hospital,Private,Pulmogen Alitora,Antiseptics,3.0,647,1941.0,August,2018,Jimmy Grey,Alisha Cordwell,Charlie,Medias,Bajo,0
Beier  ,Crist Inc ,Stary Sącz,Poland,49.5625,20.6364,Hospital,Private,Ionclotide,Analgesics,20.0,631,12620.0,August,2018,Jessica Smith,Britanny Bold,Delta,Altas,Alto,0
Beier  ,Torp-Fisher Pharma Plc,Gorlice,Poland,49.6556,21.1604,Hospital,Government,Kiovax Tercorolac,Analgesics,10.0,722,7220.0,August,2018,Steve Pepple,Tracy Banks,Bravo,Altas,Alto,0
Smith Inc ,"Crist, Wisoky and Nolan Pharmaceutical Ltd",Toruń,Poland,53.0167,18.6167,Pharmacy,Retail,Lansopril Acribax,Antipiretics,1.0,492,492.0,August,2018,Steve Pepple,Tracy Banks,Bravo,Bajas,Bajo,0
Rohan   ,"Nolan, DuBuque and Schultz Pharm",Wałbrzych,Poland,50.7667,16.2833,Hospital,Government,Eproline,Antibiotics,31.0,780,24180.0,August,2018,Stella Given,Alisha Cordwell,Charlie,Altas,Alto,0
Stehr-Champlin  ,"Grimes, Jacobs and Durgan Pharm",Bełchatów,Poland,51.3667,19.3667,Hospital,Private,Quiniprosyn,Antiseptics,12.0,445,5340.0,August,2018,Sheila Stones,Britanny Bold,Delta,Altas,Bajo,0
Prohaska-Kuhic ,Mraz-Kutch Pharm,Bieruń Stary,Poland,50.0897,19.0928,Pharmacy,Retail,Alarudin Azarolac,Mood Stabilizers,160.0,567,90720.0,August,2018,Jessica Smith,Britanny Bold,Delta,Altas,Alto,1
Beier  ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,17.9253,Pharmacy,Retail,Dorzovorin Pentadarone,Antimalarial,36.0,164,5904.0,August,2018,Steve Pepple,Tracy Banks,Bravo,Altas,Alto,0
Smith Inc ,"Kertzmann, Quitzon and Harris Pharma Plc",Reszel,Poland,54.0504,21.1458,Hospital,Government,Hydroxyprosyn,Antibiotics,2.0,220,440.0,August,2018,Morris Garcia,,Bravo,Bajas,Bajo,0
Prohaska-Kuhic ,Kozey-Schroeder ,Jawor,Poland,51.05,16.1833,Hospital,Private,Albudazole Erobloc,Antiseptics,480.0,563,270240.0,August,2018,Morris Garcia,,Bravo,Altas,Alto,1
Smith Inc ,Botsford PLC Pharmacy,Pabianice,Poland,51.6642,19.35,Pharmacy,Institution,Adrecetam Barazoxane,Antimalarial,2.0,24,48.0,August,2018,Jessica Smith,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,Streich PLC Pharmaceutical Limited,Przemyśl,Poland,49.785,22.7673,Pharmacy,Institution,Tracdomide,Antipiretics,40.0,548,21920.0,August,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Rohan   ,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,21.75,Hospital,Government,Primatate Univatol,Mood Stabilizers,50.0,172,,August,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,0
Prohaska-Kuhic ,Barton Ltd Pharma Plc,Czeladź,Poland,50.3333,19.0833,Hospital,Private,Fentalac,Antipiretics,324.0,618,200232.0,August,2018,Alan Ray,James Goodwill,Alfa,Altas,Alto,1
Stehr-Champlin  ,Heller-Abernathy ,Brzeg Dolny,Poland,51.273,16.7081,Hospital,Private,Flutacerol,Analgesics,2.0,745,1490.0,August,2018,Abigail Thompson,Tracy Banks,Bravo,Medias,Bajo,0
Beier  ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Enzastryl,Antiseptics,30.0,26,780.0,August,2018,Morris Garcia,Tracy Banks,Bravo,Bajas,Bajo,0
Prohaska-Kuhic ,Leannon-West Pharmacy,Cieszyn,Poland,49.75,18.6333,Pharmacy,Retail,Comzyme,Antibiotics,5.0,114,570.0,August,2018,Morris Garcia,Tracy Banks,Bravo,Bajas,Bajo,0
Rohan   ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,,Pharmacy,Institution,Victomax,Analgesics,3.0,623,1869.0,August,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Smith Inc ,Bosco-Marquardt Pharm,Lębork,Poland,54.55,17.75,Hospital,Private,Abranatal Lysoprosate,Antiseptics,5.0,681,3405.0,August,2018,Abigail Thompson,Tracy Banks,Bravo,Medias,Bajo,0
Stehr-Champlin  ,Haley PLC Pharmaceutical Limited,Opole,Poland,,17.9253,Pharmacy,Retail,Hydroxyprosyn,Antibiotics,5.0,220,,August,2018,,Alisha Cordwell,Charlie,Medias,Bajo,0
Beier  ,Welch-Orn ,Chełmno,Poland,53.3492,18.4261,Hospital,Private,Invisteride Diclomycin,Mood Stabilizers,10.0,452,4520.0,August,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,"Kuphal, D'Amore and Bode Pharmaceutical Ltd",Szczecin,Poland,53.4247,14.5553,Pharmacy,Retail,Angioparin Brimosumab,Mood Stabilizers,20.0,682,,August,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Smith Inc ,Rohan PLC Pharmaceutical Limited,Krynica,Poland,49.4222,20.9594,Pharmacy,Retail,Zynosine,Antimalarial,2.0,74,148.0,August,2018,Daniel Gates,Alisha Cordwell,Charlie,Bajas,Bajo,0
Stehr-Champlin  ,Lockman-Welch Pharm,Bytom,Poland,50.347,18.923,Hospital,Government,Trazobalamin,Mood Stabilizers,,762,36576.0,August,2018,Thompson Crawford,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,"Paucek, Keeling and Bruen Pharm",Łęczna,Poland,51.3,22.8833,Pharmacy,Institution,Acelimus,Analgesics,40.0,746,29840.0,August,2018,Alan Ray,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,Leuschke PLC Pharmacy,Ciechanów,Poland,52.8817,20.6106,Pharmacy,Retail,Insozyme,Antiseptics,100.0,655,65500.0,August,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,1
Stehr-Champlin  ,Erdman PLC Pharmacy,Ozimek,Poland,50.6731,18.2131,Pharmacy,Institution,Fentatrol Rapatelase,Antibiotics,6.0,458,2748.0,August,2018,Erica Jones,James Goodwill,Alfa,Medias,Bajo,0
Stehr-Champlin  ,Waelchi LLC Pharmacy,Katowice,Poland,50.25,19.0,Hospital,Government,Quiniprosyn,Antiseptics,48.0,445,21360.0,August,2018,,Alisha Cordwell,Charlie,Altas,Alto,0
Stehr-Champlin  ,Bashirian-Kassulke Pharma Plc,Kraków,Poland,50.0614,19.9372,Hospital,Private,Eproline,Antibiotics,5.0,780,3900.0,August,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Schaefer-Rolfson ,Niepołomice,Poland,50.0339,20.2172,Hospital,Private,Symdocet,Antipiretics,5.0,470,2350.0,August,2018,Alan Ray,James Goodwill,Alfa,Medias,Bajo,0
Stehr-Champlin  ,Nader-Gaylord Pharmaceutical Ltd,Łódź,Poland,51.7769,19.4547,Pharmacy,Retail,Halciramine,Antimalarial,10.0,409,4090.0,August,2018,Mary Gerrard,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Sauer and Sons Pharmaceutical Limited,Brzozów,Poland,49.6953,22.0194,Pharmacy,Retail,Rebedase Aplencor,Mood Stabilizers,4.0,180,720.0,September,2018,Anne Wu,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,West Group Pharmacy,Kluczbork,Poland,50.9833,18.2167,Hospital,Government,Abtasol,Antiseptics,1.0,754,,September,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Smith Inc ,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,21.75,Hospital,Government,Ampysin,Analgesics,1.0,243,243.0,September,2018,Alan Ray,,Alfa,Bajas,Bajo,0
Stehr-Champlin  ,"Blick, Pacocha and Schowalter ",Inowrocław,Poland,52.7958,18.2611,Pharmacy,Retail,Dexmeprazole Transnuvia,Mood Stabilizers,5.0,180,900.0,September,2018,Anne Wu,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,Kozey Ltd Pharmaceutical Ltd,Bielsk Podlaski,Poland,52.7667,23.2,Hospital,Government,Relenstrel Exurabine,Antibiotics,550.0,424,233200.0,September,2018,Jessica Smith,Britanny Bold,Delta,Altas,Alto,1
Stehr-Champlin  ,"Gleichner, Bahringer and Morar Pharma Plc",Gostynin,Poland,52.4167,19.4667,Hospital,Private,Halcifergen Nevazone,Antimalarial,3.0,710,2130.0,September,2018,Alan Ray,James Goodwill,Alfa,Medias,Bajo,0
Stehr-Champlin  ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Secrelazine Insonamic,Antipiretics,4.0,694,2776.0,September,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,Kozey-Schroeder ,Jawor,Poland,,16.1833,Hospital,Private,Clinicilin Pentozone,Antimalarial,1.0,112,112.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Bajas,Bajo,0
Smith Inc ,Lindgren-Simonis Pharm,Biskupiec,Poland,,20.9569,Pharmacy,Retail,Relenvice,Antimalarial,10.0,459,4590.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Beier  ,"Gleichner, Bahringer and Morar Pharma Plc",Gostynin,Poland,52.4167,19.4667,Hospital,Private,Tracdomide,Antipiretics,40.0,548,21920.0,September,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,0
Smith Inc ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Presetron,Mood Stabilizers,22.0,216,4752.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Rohan   ,"Parisian, Hagenes and Skiles Pharma Plc",Ciechocinek,Poland,52.8833,18.7833,Pharmacy,Retail,Afinitasol,Antipiretics,5.0,286,1430.0,September,2018,Sheila Stones,,Delta,Medias,Bajo,0
Stehr-Champlin  ,Kunze PLC Pharm,Darłowo,Poland,54.4167,16.4167,Hospital,Private,Antaparin Varizyme,Mood Stabilizers,,513,1539.0,September,2018,Erica Jones,James Goodwill,Alfa,Medias,Bajo,0
Prohaska-Kuhic ,Waelchi LLC Pharmacy,Katowice,Poland,50.25,19.0,Hospital,Government,Biotasol Siloderm,Antiseptics,4.0,373,1492.0,September,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,Stanton-Cole ,Skierniewice,Poland,51.9528,20.1417,Hospital,Private,Testant,Mood Stabilizers,6.0,488,2928.0,September,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Rohan   ,Steuber Ltd Pharmacy,Ostrołęka,Poland,53.0833,21.5667,Hospital,Private,Robapril,Antipiretics,10.0,453,4530.0,September,2018,,Alisha Cordwell,Charlie,Medias,Bajo,0
Cassin  ,Lockman-Welch Pharm,Bytom,Poland,50.347,18.923,Hospital,Government,Eproline,Antibiotics,,780,15600.0,September,2018,Erica Jones,,Alfa,Altas,Alto,0
Smith Inc ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,,Hospital,Government,Bexridol,Antipiretics,150.0,80,12000.0,September,2018,Anne Wu,,Delta,Altas,Alto,0
Stehr-Champlin  ,Pfeffer-Hodkiewicz Pharmaceutical Ltd,Szczytno,Poland,53.5628,20.9853,Hospital,Government,Claripenem,Antibiotics,1.0,448,448.0,September,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,Schulist-Zulauf Pharm,Tychy,Poland,50.1667,19.0,Hospital,Private,Dexacilin Triline,Analgesics,1.0,129,129.0,September,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Rohan   ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,22.6778,Hospital,Government,Pazofenac,Mood Stabilizers,25.0,123,3075.0,September,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Stehr-Champlin  ,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,21.75,Hospital,Government,Xenaderal,Mood Stabilizers,16.0,311,4976.0,September,2018,Erica Jones,James Goodwill,Alfa,Medias,Bajo,0
Stehr-Champlin  ,Torp-Fisher Pharma Plc,Gorlice,Poland,,21.1604,Hospital,Government,Fosinofen,Antipiretics,24.0,385,9240.0,September,2018,Jessica Smith,Britanny Bold,Delta,Altas,Alto,0
Stehr-Champlin  ,Mraz-Kutch Pharm,Bieruń Stary,Poland,50.0897,19.0928,Pharmacy,Retail,Antaparin Varizyme,Mood Stabilizers,,513,3078.0,September,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Stehr-Champlin  ,Kunze PLC Pharm,Darłowo,Poland,54.4167,16.4167,Hospital,Private,Ampysin,Analgesics,250.0,243,60750.0,September,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,1
Beier  ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,,17.3742,Hospital,Government,Tetratanyl,Antimalarial,150.0,511,76650.0,September,2018,Erica Jones,,Alfa,Altas,Alto,1
Smith Inc ,Schaefer-Rolfson ,Niepołomice,Poland,50.0339,20.2172,Hospital,Private,Metapatch,Antipiretics,15.0,438,6570.0,September,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,Daugherty-Rempel Pharma Plc,Bełżyce,Poland,51.1833,22.2667,Hospital,Government,Clinolan Pitoletra,Mood Stabilizers,1.0,130,130.0,September,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Smith Inc ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Trazobalamin,Mood Stabilizers,10.0,762,7620.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,0
Stehr-Champlin  ,Marquardt-Ryan Pharmaceutical Ltd,Węgorzewo,Poland,54.2167,21.75,Hospital,Private,Albuterenone,Antimalarial,50.0,82,4100.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Prohaska-Kuhic ,Reilly Ltd ,Mława,Poland,53.1167,20.3667,Pharmacy,Retail,Magneprex,Antimalarial,32.0,187,5984.0,September,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,0
Beier  ,Schmitt LLC Pharm,Nysa,Poland,50.4738,17.3344,Pharmacy,Retail,Afaxacin,Analgesics,20.0,60,1200.0,September,2018,,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Lovavatol Azelavarix,Mood Stabilizers,1.0,106,106.0,September,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Quiniprosyn,Antiseptics,10.0,445,4450.0,September,2018,Jessica Smith,,Delta,Medias,Bajo,0
Beier  ,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private,Diazemid Felcept,Analgesics,150.0,613,91950.0,September,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,1
Stehr-Champlin  ,"Hansen, Fadel and Schroeder Pharm",Gniezno,Poland,52.5333,17.6,Pharmacy,Retail,Xenaminphen,Antimalarial,,195,195.0,September,2018,,Tracy Banks,Bravo,Bajas,Bajo,0
Beier  ,Koss Ltd Pharmaceutical Limited,Lwówek Śląski,Poland,51.1167,,Hospital,Private,Cephozumab Synmethate,Antibiotics,294.0,768,225792.0,September,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,1
Prohaska-Kuhic ,Will and Sons Pharma Plc,Gniew,Poland,53.8333,18.8333,Pharmacy,Retail,Pitodomide,Antimalarial,24.0,24,576.0,September,2018,Alan Ray,James Goodwill,Alfa,Bajas,Bajo,0
Smith Inc ,"Runolfsson, Swaniawski and Jaskolski Pharmacy",Sieradz,Poland,51.6,18.75,Hospital,Private,Interzide,Antimalarial,10.0,420,4200.0,September,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Stehr-Champlin  ,Steuber Ltd Pharmacy,Ostrołęka,Poland,53.0833,21.5667,Hospital,Private,Epzipitant,Analgesics,6.0,778,,September,2018,,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Carter-Conn Pharma Plc,Brwinów,Poland,52.1417,20.7167,Hospital,Private,Choriogestrel,Antiseptics,10.0,347,3470.0,September,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Stehr-Champlin  ,"Ondricka, Rosenbaum and Beahan ",Starogard Gdański,Poland,53.9667,18.5333,Hospital,Government,Diprotaine,Antiseptics,2.0,318,636.0,September,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Cassin  ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Interfeferon Aspipex,Antiseptics,10.0,416,4160.0,September,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Prohaska-Kuhic ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Acantaine,Antibiotics,,66,330.0,September,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Smith Inc ,"Beer, Kohler and Beatty Pharmaceutical Ltd",Rypin,Poland,53.0667,19.45,Pharmacy,Retail,Trazozaprine,Mood Stabilizers,27.0,708,,September,2018,,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,Sauer and Sons Pharmaceutical Limited,Brzozów,Poland,49.6953,22.0194,Pharmacy,Retail,Enzastryl,Antiseptics,40.0,26,1040.0,September,2018,Abigail Thompson,,Bravo,Medias,Bajo,0
Stehr-Champlin  ,Welch-Langworth ,Warsaw,Poland,52.2167,,Pharmacy,Retail,Sucprine Specbalamin,Antiseptics,,182,,September,2018,Jessica Smith,Britanny Bold,Delta,Bajas,Bajo,0
Smith Inc ,Mraz-Kutch Pharm,Bieruń Stary,Poland,50.0897,,Pharmacy,Retail,Apronazol,Antibiotics,4.0,472,1888.0,September,2018,Anne Wu,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Wiegand, Jast and Yost Pharma Plc",Płock,Poland,52.55,19.7,Hospital,Private,Lovepion,Antiseptics,20.0,544,10880.0,September,2018,Mary Gerrard,Britanny Bold,Delta,Altas,Alto,0
Stehr-Champlin  ,Trantow LLC Pharma Plc,Braniewo,Poland,54.3833,19.8333,Pharmacy,Retail,Alpharolac,Antipiretics,24.0,533,12792.0,September,2018,Thompson Crawford,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,Rowe PLC Pharmaceutical Ltd,Kęty,Poland,,19.2233,Pharmacy,Institution,Vibratosine Alemtrace,Antibiotics,20.0,269,5380.0,September,2018,Erica Jones,James Goodwill,Alfa,Altas,Bajo,0
Smith Inc ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Abatatriptan,Antibiotics,20.0,742,14840.0,September,2018,Alan Ray,James Goodwill,Alfa,Altas,Alto,0
Stehr-Champlin  ,"Parisian, Hagenes and Skiles Pharma Plc",Ciechocinek,Poland,52.8833,18.7833,Pharmacy,Retail,Proprabax,Analgesics,12.0,64,768.0,September,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Smith Inc ,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government,Proderal,Antiseptics,,34,68.0,September,2018,Alan Ray,James Goodwill,Alfa,Bajas,Bajo,0
Prohaska-Kuhic ,"Reynolds, Jast and Mante Pharma Plc",Pleszew,Poland,51.8974,17.7856,Pharmacy,Institution,Zyvance,Analgesics,10.0,323,3230.0,September,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Cassin  ,Pfannerstill Group Pharmaceutical Ltd,Jelcz-Laskowice,Poland,,17.3333,Pharmacy,Retail,Sucprine Specbalamin,Antiseptics,5.0,182,910.0,September,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Stehr-Champlin  ,Zemlak Group Pharmaceutical Limited,Koszalin,Poland,54.1903,,Hospital,Private,Androporin,Antiseptics,3.0,659,1977.0,September,2018,Alan Ray,James Goodwill,Alfa,Medias,Bajo,0
Rohan   ,Torp-Fisher Pharma Plc,Gorlice,Poland,49.6556,21.1604,Hospital,Government,Bexridol,Antipiretics,5.0,80,400.0,September,2018,Stella Given,Alisha Cordwell,Charlie,Bajas,Bajo,0
Prohaska-Kuhic ,Cassin PLC Pharmacy,Miastko,Poland,54.0,16.9833,Hospital,Private,Ibrulinum,Antipiretics,72.0,190,13680.0,September,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Beier  ,Crona PLC Pharma Plc,Białogard,Poland,54.007,15.9875,Hospital,Private,Veratorol Ciclovatol,Mood Stabilizers,300.0,154,46200.0,September,2018,Anne Wu,Britanny Bold,Delta,Altas,Alto,1
Prohaska-Kuhic ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Diprotaine,Antiseptics,8.0,318,2544.0,September,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Prohaska-Kuhic ,"Haag, Bradtke and Terry Pharmacy",Biała Podlaska,Poland,,23.1167,Hospital,Government,Palodizem,Mood Stabilizers,10.0,201,2010.0,September,2018,Mary Gerrard,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,Bosco-Marquardt Pharm,Lębork,Poland,54.55,17.75,Hospital,Private,Claripenem,Antibiotics,4.0,448,1792.0,October,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,Walter Ltd ,Kętrzyn,Poland,54.0833,21.3833,Pharmacy,Institution,Propratecan,Antimalarial,5.0,682,3410.0,October,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Hansen, Fadel and Schroeder Pharm",Gniezno,Poland,52.5333,17.6,Pharmacy,Retail,Topitaine,Mood Stabilizers,2.0,517,1034.0,October,2018,,Tracy Banks,Bravo,Medias,Bajo,0
Rohan   ,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government,Decidenu Galantrigine,Antipiretics,,590,17700.0,October,2018,Steve Pepple,Tracy Banks,Bravo,Altas,Alto,0
Stehr-Champlin  ,"Nolan, DuBuque and Schultz Pharm",Wałbrzych,Poland,50.7667,16.2833,Hospital,Government,Acubulin,Antipiretics,1.0,490,490.0,October,2018,,James Goodwill,Alfa,Bajas,Bajo,0
Stehr-Champlin  ,Leannon-West Pharmacy,Cieszyn,Poland,49.75,18.6333,Pharmacy,Retail,Araxetine,Antibiotics,12.0,450,5400.0,October,2018,Alan Ray,James Goodwill,Alfa,Altas,Bajo,0
Stehr-Champlin  ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Ketastadil,Analgesics,15.0,763,11445.0,October,2018,Abigail Thompson,Tracy Banks,Bravo,Altas,Alto,0
Stehr-Champlin  ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Microroban Afatigomar,Antimalarial,2.0,478,956.0,October,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Stehr-Champlin  ,Crona PLC Pharma Plc,Białogard,Poland,54.007,15.9875,Hospital,Private,Dantolac Pazocor,Analgesics,1.0,578,578.0,October,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,Buckridge-Strosin Pharmaceutical Limited,Pruszków,Poland,52.1667,,Hospital,Government,Acubulin,Antipiretics,10.0,490,4900.0,October,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Stehr-Champlin  ,Prohaska-Kuhic Pharmacy,Wisła,Poland,49.6667,18.8667,Pharmacy,Institution,Aggrakine,Antiseptics,,47,,October,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Beier  ,Schulist-Zulauf Pharm,Tychy,Poland,50.1667,19.0,Hospital,Private,Darlofen,Antipiretics,,577,57700.0,October,2018,Jimmy Grey,Alisha Cordwell,Charlie,Altas,Alto,1
Stehr-Champlin  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Alisteride Pemidizem,Antiseptics,24.0,35,840.0,October,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Smith Inc ,Koss-Beier ,Nakło nad Notecią,Poland,53.1421,17.6018,Pharmacy,Retail,Megenorphine,Antimalarial,1.0,402,402.0,October,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Smith Inc ,Schmitt LLC Pharm,Nysa,Poland,50.4738,17.3344,Pharmacy,Retail,Adrecetam Barazoxane,Antimalarial,10.0,24,240.0,October,2018,Alan Ray,James Goodwill,Alfa,Bajas,Bajo,0
Prohaska-Kuhic ,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government,Sodinel Olofribrate,Antimalarial,3.0,50,150.0,October,2018,Jessica Smith,Britanny Bold,Delta,Bajas,Bajo,0
